Participant_ID,Capture_Time,Type_Code,,,1= your home
M60001,7/1/2019 8:23,4,,,2= friend’s home
M60001,7/1/2019 9:30,4,,,3= relative’s home
M60001,7/1/2019 9:58,4,,,4= work
M60001,7/1/2019 11:44,4,,,5=school
M60001,7/1/2019 12:43,4,,,6= worship center
M60001,7/1/2019 18:04,4,,,7= club/association
M60001,7/1/2019 19:30,4,,,8= bar
M60001,7/1/2019 19:31,4,,,9= saloon
M60001,7/1/2019 19:36,4,,,10= gym
M60001,7/1/2019 19:42,4,,,11= trading center/shop/kiosk
M60001,7/1/2019 21:13,11,,,12= neighborhood
M60001,7/1/2019 21:42,1,,,13= in transit
M60001,7/2/2019 8:06,1,,,14= hospital/clinic
M60001,7/2/2019 8:07,1,,,15= market
M60001,7/2/2019 8:16,11,,,16= shop/grocery store/kioski
M60001,7/2/2019 8:29,11,,,17= beach
M60001,7/2/2019 13:50,1,,,18=video/cinema hall/sports bettings
M60001,7/2/2019 13:57,1,,,19= restaurant
M60001,7/2/2019 14:42,1,,,20= parking lot
M60001,7/2/2019 16:39,1,,,21= guest house/hotel
M60001,7/2/2019 17:29,1,,,22= neighbor’s work place
M60001,7/2/2019 19:56,1,,,23= friend’s work place
M60001,7/2/2019 19:58,1,,,24= relative’s work place
M60001,7/2/2019 20:31,1,,,25= taxi/bus/train park/station
M60001,7/3/2019 8:47,4,,,88= elsewhere
M60001,7/3/2019 9:01,4,,,
M60001,7/3/2019 10:00,4,,,
M60001,7/3/2019 13:24,4,,,
M60001,7/3/2019 15:58,4,,,
M60001,7/3/2019 16:13,4,,,
M60001,7/3/2019 17:10,4,,,
M60001,7/3/2019 17:11,4,,,
M60001,7/3/2019 17:49,4,,,
M60001,7/3/2019 20:28,1,,,
M60001,7/3/2019 20:44,1,,,
M60001,7/3/2019 20:45,1,,,
M60001,7/3/2019 20:49,1,,,
M60001,7/3/2019 20:50,1,,,
M60001,7/3/2019 20:51,1,,,
M60001,7/3/2019 20:57,1,,,
M60001,7/3/2019 21:15,11,,,
M60001,7/3/2019 22:18,1,,,
M60001,7/4/2019 6:55,1,,,
M60001,7/4/2019 9:54,4,,,
M60001,7/4/2019 10:36,4,,,
M60001,7/4/2019 11:23,4,,,
M60001,7/4/2019 17:00,4,,,
M60001,7/4/2019 17:05,4,,,
M60001,7/4/2019 21:40,1,,,
M60001,7/4/2019 21:43,1,,,
M60001,7/4/2019 21:44,1,,,
M60001,7/5/2019 7:12,1,,,
M60001,7/5/2019 8:09,4,,,
M60001,7/5/2019 13:26,4,,,
M60001,7/5/2019 13:52,4,,,
M60001,7/5/2019 13:53,4,,,
M60001,7/5/2019 13:54,4,,,
M60001,7/5/2019 13:55,4,,,
M60001,7/5/2019 13:58,4,,,
M60001,7/5/2019 13:59,4,,,
M60001,7/5/2019 14:01,4,,,
M60001,7/5/2019 14:04,4,,,
M60001,7/5/2019 14:19,4,,,
M60001,7/5/2019 14:23,4,,,
M60001,7/5/2019 17:20,4,,,
M60001,7/5/2019 17:23,4,,,
M60001,7/5/2019 17:25,4,,,
M60001,7/5/2019 17:28,4,,,
M60001,7/5/2019 17:32,4,,,
M60001,7/5/2019 18:31,4,,,
M60001,7/5/2019 21:04,1,,,
M60001,7/5/2019 21:05,1,,,
M60001,7/5/2019 21:18,1,,,
M60001,7/6/2019 14:16,4,,,
M60001,7/6/2019 14:32,4,,,
M60001,7/6/2019 15:10,4,,,
M60001,7/6/2019 16:45,4,,,
M60001,7/7/2019 7:02,1,,,
M60001,7/7/2019 7:06,1,,,
M60001,7/7/2019 8:24,15,,,
M60001,7/7/2019 9:59,4,,,
M60001,7/7/2019 13:45,4,,,
M60001,7/7/2019 20:27,1,,,
M60001,7/7/2019 20:47,1,,,
M60001,7/7/2019 22:18,11,,,
M60001,7/8/2019 9:13,4,,,
M60001,7/8/2019 12:00,4,,,
M60001,7/8/2019 12:23,4,,,
M60001,7/8/2019 13:28,4,,,
M60001,7/8/2019 16:15,4,,,
M60001,7/9/2019 0:29,1,,,
M60001,7/9/2019 7:03,1,,,
M60001,7/9/2019 10:10,4,,,
M60001,7/9/2019 10:42,4,,,
M60001,7/9/2019 13:03,4,,,
M60001,7/9/2019 13:36,4,,,
M60001,7/9/2019 16:08,4,,,
M60001,7/9/2019 16:42,4,,,
M60001,7/9/2019 16:48,4,,,
M60001,7/9/2019 17:00,4,,,
M60001,7/9/2019 17:01,4,,,
M60001,7/9/2019 17:08,4,,,
M60001,7/9/2019 17:09,4,,,
M60001,7/9/2019 17:10,4,,,
M60001,7/9/2019 17:17,4,,,
M60001,7/9/2019 18:34,5,,,
M60001,7/9/2019 20:09,1,,,
M60001,7/9/2019 20:14,1,,,
M60001,7/9/2019 20:58,1,,,
M60001,7/10/2019 7:01,1,,,
M60001,7/10/2019 8:45,4,,,
M60001,7/10/2019 8:55,4,,,
M60001,7/10/2019 9:00,4,,,
M60001,7/10/2019 9:21,4,,,
M60001,7/10/2019 12:11,4,,,
M60001,7/10/2019 12:12,4,,,
M60001,7/10/2019 12:13,4,,,
M60001,7/10/2019 12:56,4,,,
M60001,7/10/2019 15:39,4,,,
M60001,7/10/2019 17:00,4,,,
M60001,7/10/2019 17:07,4,,,
M60001,7/10/2019 17:53,4,,,
M60001,7/10/2019 18:18,4,,,
M60001,7/10/2019 22:32,1,,,
M60001,7/11/2019 1:40,1,,,
M60001,7/11/2019 6:56,1,,,
M60001,7/11/2019 9:14,4,,,
M60001,7/11/2019 9:23,4,,,
M60001,7/11/2019 9:26,4,,,
M60001,7/11/2019 9:34,4,,,
M60001,7/11/2019 10:26,4,,,
M60001,7/11/2019 13:14,4,,,
M60001,7/11/2019 15:46,4,,,
M60001,7/11/2019 15:53,4,,,
M60001,7/11/2019 20:01,1,,,
M60001,7/11/2019 20:02,1,,,
M60001,7/11/2019 20:52,1,,,
M60001,7/11/2019 21:14,1,,,
M60001,7/11/2019 21:55,14,,,
M60001,7/11/2019 23:02,11,,,
M60001,7/11/2019 23:05,11,,,
M60001,7/12/2019 7:05,4,,,
M60001,7/12/2019 8:40,4,,,
M60001,7/12/2019 9:14,4,,,
M60001,7/12/2019 9:52,4,,,
M60001,7/12/2019 10:49,4,,,
M60001,7/12/2019 14:07,4,,,
M60001,7/12/2019 14:46,4,,,
M60001,7/12/2019 15:52,4,,,
M60001,7/12/2019 18:31,1,,,
M60001,7/12/2019 19:44,1,,,
M60001,7/12/2019 19:46,1,,,
M60001,7/12/2019 19:48,1,,,
M60001,7/12/2019 20:44,5,,,
M60001,7/12/2019 20:45,11,,,
M60001,7/12/2019 20:46,11,,,
M60001,7/12/2019 20:49,1,,,
M60001,7/12/2019 20:55,1,,,
M60001,7/12/2019 20:59,1,,,
M60001,7/12/2019 21:14,1,,,
M60001,7/13/2019 6:53,1,,,
M60001,7/13/2019 7:28,1,,,
M60001,7/13/2019 7:29,1,,,
M60001,7/13/2019 7:32,1,,,
M60001,7/13/2019 8:06,15,,,
M60001,7/13/2019 9:29,4,,,
M60001,7/13/2019 9:48,4,,,
M60001,7/13/2019 10:41,4,,,
M60001,7/13/2019 13:57,4,,,
M60001,7/13/2019 13:58,4,,,
M60001,7/13/2019 15:40,4,,,
M60001,7/13/2019 16:46,4,,,
M60001,7/13/2019 17:06,4,,,
M60001,7/13/2019 17:44,88,,,
M60001,7/13/2019 18:56,1,,,
M60001,7/13/2019 18:57,1,,,
M60001,7/13/2019 19:09,1,,,
M60001,7/13/2019 20:23,1,,,
M60001,7/13/2019 20:24,1,,,
M60001,7/13/2019 20:32,1,,,
M60001,7/13/2019 22:16,1,,,
M60001,7/14/2019 8:41,4,,,
M60001,7/14/2019 12:23,15,,,
M60001,7/14/2019 13:47,1,,,
M60001,7/14/2019 14:35,1,,,
M60001,7/15/2019 7:54,4,,,
M60001,7/15/2019 8:28,4,,,
M60001,7/15/2019 9:03,4,,,
M60001,7/15/2019 9:10,4,,,
M60001,7/15/2019 11:49,4,,,
M60001,7/15/2019 11:52,4,,,
M60001,7/15/2019 13:06,4,,,
M60001,7/15/2019 13:07,4,,,
M60001,7/15/2019 13:08,4,,,
M60001,7/15/2019 14:06,4,,,
M60001,7/15/2019 17:00,4,,,
M60001,7/15/2019 17:58,4,,,
M60001,7/15/2019 19:36,11,,,
M60001,7/16/2019 7:23,5,,,
M60001,7/16/2019 8:07,4,,,
M60001,7/16/2019 10:32,4,,,
M60001,7/16/2019 11:21,4,,,
M60001,7/16/2019 11:55,4,,,
M60001,7/16/2019 12:14,4,,,
M60001,7/16/2019 12:29,4,,,
M60001,7/16/2019 14:27,4,,,
M60001,7/16/2019 15:40,4,,,
M60001,7/16/2019 16:04,4,,,
M60001,7/16/2019 16:41,4,,,
M60001,7/16/2019 16:59,4,,,
M60001,7/16/2019 17:00,19,,,
M60001,7/16/2019 17:18,4,,,
M60001,7/16/2019 20:01,4,,,
M60001,7/16/2019 20:03,4,,,
M60001,7/16/2019 20:55,4,,,
M60001,7/16/2019 22:27,1,,,
M60001,7/16/2019 23:43,1,,,
M60001,7/17/2019 8:36,4,,,
M60001,7/17/2019 9:34,4,,,
M60001,7/17/2019 13:42,4,,,
M60001,7/17/2019 14:36,4,,,
M60001,7/17/2019 14:43,4,,,
M60001,7/17/2019 14:47,4,,,
M60001,7/17/2019 15:45,4,,,
M60001,7/17/2019 18:46,4,,,
M60001,7/17/2019 21:28,1,,,
M60001,7/17/2019 21:57,1,,,
M60001,7/18/2019 7:04,1,,,
M60001,7/18/2019 8:03,4,,,
M60001,7/18/2019 8:59,4,,,
M60001,7/18/2019 10:40,4,,,
M60001,7/18/2019 10:58,4,,,
M60001,7/18/2019 13:14,4,,,
M60001,7/18/2019 13:18,4,,,
M60001,7/18/2019 21:01,1,,,
M60001,7/19/2019 4:40,1,,,
M60001,7/19/2019 8:26,4,,,
M60001,7/19/2019 10:45,4,,,
M60001,7/19/2019 12:50,4,,,
M60001,7/19/2019 15:52,4,,,
M60001,7/19/2019 17:57,4,,,
M60001,7/19/2019 17:58,4,,,
M60001,7/19/2019 19:20,4,,,
M60001,7/19/2019 19:43,4,,,
M60001,7/19/2019 19:44,4,,,
M60001,7/20/2019 9:10,4,,,
M60001,7/20/2019 9:11,4,,,
M60001,7/20/2019 9:12,4,,,
M60001,7/20/2019 9:13,4,,,
M60001,7/20/2019 12:00,4,,,
M60001,7/20/2019 12:01,4,,,
M60001,7/20/2019 12:02,4,,,
M60001,7/20/2019 12:06,4,,,
M60001,7/20/2019 12:30,4,,,
M60001,7/20/2019 13:37,4,,,
M60001,7/20/2019 14:03,4,,,
M60001,7/20/2019 14:13,9,,,
M60001,7/20/2019 14:15,4,,,
M60001,7/20/2019 14:38,4,,,
M60001,7/20/2019 16:12,4,,,
M60001,7/20/2019 17:54,4,,,
M60001,7/20/2019 21:12,5,,,
M60001,7/20/2019 21:14,1,,,
M60001,7/20/2019 21:23,1,,,
M60001,7/20/2019 21:24,11,,,
M60001,7/20/2019 21:56,1,,,
M60001,7/20/2019 22:03,1,,,
M60001,7/20/2019 22:07,1,,,
M60001,7/21/2019 0:48,1,,,
M60001,7/21/2019 7:18,1,,,
M60001,7/21/2019 13:27,21,,,
M60001,7/21/2019 13:41,4,,,
M60001,7/21/2019 14:30,4,,,
M60001,7/21/2019 15:10,11,,,
M60001,7/21/2019 15:12,11,,,
M60001,7/21/2019 15:18,4,,,
M60001,7/21/2019 15:31,4,,,
M60001,7/21/2019 15:41,4,,,
M60001,7/21/2019 17:27,4,,,
M60001,7/21/2019 18:41,5,,,
M60001,7/21/2019 22:10,1,,,
M60001,7/22/2019 7:07,1,,,
M60001,7/22/2019 9:37,4,,,
M60001,7/22/2019 10:08,4,,,
M60001,7/22/2019 10:09,4,,,
M60001,7/22/2019 10:12,4,,,
M60001,7/22/2019 11:43,4,,,
M60001,7/22/2019 12:55,4,,,
M60001,7/22/2019 13:21,4,,,
M60001,7/22/2019 15:00,4,,,
M60001,7/22/2019 18:18,4,,,
M60001,7/22/2019 20:33,11,,,
M60001,7/22/2019 21:35,1,,,
M60001,7/22/2019 23:07,1,,,
M60001,7/23/2019 11:14,4,,,
M60001,7/23/2019 17:51,4,,,
M60001,7/23/2019 20:01,1,,,
M60001,7/23/2019 20:03,1,,,
M60001,7/24/2019 9:03,4,,,
M60001,7/24/2019 10:59,4,,,
M60001,7/24/2019 11:03,4,,,
M60001,7/24/2019 13:41,4,,,
M60001,7/24/2019 13:52,4,,,
M60001,7/24/2019 18:48,4,,,
M60001,7/24/2019 20:52,1,,,
M60001,7/24/2019 22:53,1,,,
M60001,7/25/2019 6:35,1,,,
M60001,7/25/2019 6:40,1,,,
M60001,7/25/2019 6:43,1,,,
M60001,7/25/2019 6:56,1,,,
M60001,7/25/2019 10:29,4,,,
M60001,7/25/2019 10:42,4,,,
M60001,7/25/2019 13:20,19,,,
M60001,7/25/2019 15:08,4,,,
M60001,7/25/2019 17:14,4,,,
M60001,7/25/2019 19:21,1,,,
M60001,7/26/2019 4:01,1,,,
M60001,7/26/2019 4:32,1,,,
M60001,7/26/2019 13:13,4,,,
M60001,7/26/2019 13:43,14,,,
M60001,7/26/2019 14:07,4,,,
M60001,7/26/2019 16:09,4,,,
M60001,7/26/2019 17:01,4,,,
M60001,7/26/2019 17:02,4,,,
M60001,7/26/2019 17:05,4,,,
M60001,7/26/2019 17:06,4,,,
M60001,7/26/2019 17:09,4,,,
M60001,7/26/2019 18:25,15,,,
M60001,7/26/2019 18:26,15,,,
M60001,7/26/2019 18:28,15,,,
M60001,7/26/2019 19:20,1,,,
M60001,7/26/2019 20:20,19,,,
M60001,7/26/2019 20:22,1,,,
M60001,7/26/2019 21:47,1,,,
M60001,7/26/2019 22:00,1,,,
M60001,7/26/2019 23:16,1,,,
M60001,7/27/2019 4:53,1,,,
M60001,7/27/2019 11:30,4,,,
M60001,7/27/2019 11:37,4,,,
M60001,7/27/2019 11:41,4,,,
M60001,7/27/2019 11:45,4,,,
M60001,7/27/2019 11:47,4,,,
M60001,7/27/2019 12:49,4,,,
M60001,7/27/2019 14:05,4,,,
M60001,7/27/2019 14:11,4,,,
M60001,7/27/2019 14:14,4,,,
M60001,7/27/2019 15:20,9,,,
M60001,7/27/2019 15:21,4,,,
M60001,7/27/2019 15:23,4,,,
M60001,7/27/2019 17:01,9,,,
M60001,7/27/2019 17:05,4,,,
M60001,7/27/2019 17:45,4,,,
M60001,7/27/2019 18:34,4,,,
M60001,7/27/2019 18:35,4,,,
M60001,7/27/2019 18:55,4,,,
M60001,7/27/2019 20:30,1,,,
M60001,7/27/2019 21:41,1,,,
M60001,7/27/2019 23:06,1,,,
M60001,7/28/2019 13:20,19,,,
M60001,7/28/2019 13:53,4,,,
M60001,7/28/2019 14:17,4,,,
M60001,7/28/2019 15:03,4,,,
M60001,7/28/2019 22:42,1,,,
M60001,7/29/2019 8:08,4,,,
M60001,7/29/2019 9:59,4,,,
M60001,7/29/2019 12:43,4,,,
M60001,7/29/2019 19:27,4,,,
M60001,7/29/2019 19:28,4,,,
M60001,7/29/2019 19:29,4,,,
M60001,7/29/2019 19:30,4,,,
M60001,7/29/2019 20:13,4,,,
M60001,7/29/2019 20:47,1,,,
M60001,7/29/2019 22:12,1,,,
M60001,7/29/2019 22:14,1,,,
M60001,7/29/2019 22:15,1,,,
M60001,7/29/2019 22:31,1,,,
M60001,7/30/2019 7:13,11,,,
M60001,7/30/2019 7:21,5,,,
M60001,7/30/2019 7:23,16,,,
M60001,7/30/2019 9:17,4,,,
M60001,7/30/2019 11:48,4,,,
M60001,7/30/2019 11:49,4,,,
M60001,7/30/2019 12:25,4,,,
M60001,7/30/2019 13:32,8,,,
M60001,7/30/2019 16:02,4,,,
M60001,7/30/2019 16:29,4,,,
M60001,7/30/2019 19:08,4,,,
M60001,7/30/2019 19:12,4,,,
M60001,7/30/2019 20:19,15,,,
M60001,7/30/2019 20:51,1,,,
M60001,7/30/2019 21:50,1,,,
M60001,7/30/2019 22:05,1,,,
M60001,7/31/2019 10:35,4,,,
M60001,7/31/2019 10:58,4,,,
M60001,7/31/2019 15:36,4,,,
M60001,7/31/2019 16:16,4,,,
M60001,7/31/2019 16:20,4,,,
M60001,7/31/2019 16:31,4,,,
M60001,7/31/2019 17:27,4,,,
M60001,7/31/2019 17:43,4,,,
M60001,7/31/2019 17:49,4,,,
M60001,7/31/2019 17:50,4,,,
M60001,7/31/2019 18:04,4,,,
M60001,7/31/2019 19:54,6,,,
M60001,7/31/2019 20:46,11,,,
M60001,7/31/2019 20:47,99,,,
M60001,7/31/2019 20:56,11,,,
M60001,8/1/2019 5:46,4,,,
M60001,8/1/2019 6:20,4,,,
M60001,8/1/2019 8:51,4,,,
M60001,8/1/2019 9:21,4,,,
M60001,8/1/2019 9:22,4,,,
M60001,8/1/2019 9:23,4,,,
M60001,8/1/2019 9:24,4,,,
M60001,8/1/2019 9:35,4,,,
M60001,8/1/2019 13:57,4,,,
M60001,8/1/2019 15:41,4,,,
M60001,8/1/2019 15:53,4,,,
M60001,8/1/2019 15:57,4,,,
M60001,8/1/2019 16:37,4,,,
M60001,8/1/2019 18:21,4,,,
M60001,8/1/2019 19:00,4,,,
M60001,8/1/2019 19:07,4,,,
M60001,8/1/2019 19:32,4,,,
M60001,8/1/2019 20:34,1,,,
M60001,8/1/2019 20:35,1,,,
M60001,8/1/2019 22:49,1,,,
M60001,8/1/2019 23:32,1,,,
M60001,8/2/2019 7:38,15,,,
M60001,8/2/2019 7:40,15,,,
M60001,8/2/2019 8:41,4,,,
M60001,8/2/2019 8:49,4,,,
M60001,8/2/2019 9:02,4,,,
M60001,8/2/2019 9:19,4,,,
M60001,8/2/2019 9:26,88,,,
M60001,8/2/2019 9:28,4,,,
M60001,8/2/2019 12:12,4,,,
M60001,8/2/2019 12:40,4,,,
M60001,8/2/2019 13:25,4,,,
M60001,8/2/2019 14:18,4,,,
M60001,8/2/2019 14:23,4,,,
M60001,8/2/2019 14:26,4,,,
M60001,8/2/2019 14:27,4,,,
M60001,8/2/2019 14:29,4,,,
M60001,8/2/2019 14:50,19,,,
M60001,8/2/2019 15:08,4,,,
M60001,8/2/2019 15:16,11,,,
M60001,8/2/2019 15:33,4,,,
M60001,8/2/2019 16:36,4,,,
M60001,8/2/2019 19:45,4,,,
M60001,8/2/2019 21:33,1,,,
M60001,8/2/2019 21:47,5,,,
M60001,8/3/2019 8:15,4,,,
M60001,8/3/2019 10:00,4,,,
M60001,8/3/2019 12:52,4,,,
M60001,8/3/2019 12:53,4,,,
M60001,8/3/2019 12:54,4,,,
M60001,8/3/2019 12:55,4,,,
M60001,8/3/2019 13:39,4,,,
M60001,8/3/2019 15:49,4,,,
M60001,8/3/2019 15:50,4,,,
M60001,8/3/2019 18:05,9,,,
M60001,8/3/2019 18:56,4,,,
M60001,8/3/2019 20:46,1,,,
M60001,8/3/2019 21:36,1,,,
M60001,8/3/2019 21:57,1,,,
M60001,8/3/2019 22:04,11,,,
M60001,8/3/2019 22:13,1,,,
M60001,8/3/2019 22:15,1,,,
M60001,8/3/2019 22:27,1,,,
M60001,8/4/2019 10:59,4,,,
M60001,8/4/2019 12:14,4,,,
M60001,8/4/2019 12:24,4,,,
M60001,8/4/2019 15:06,4,,,
M60001,8/4/2019 15:08,4,,,
M60001,8/4/2019 16:05,4,,,
M60001,8/4/2019 17:03,4,,,
M60001,8/4/2019 19:04,9,,,
M60001,8/4/2019 22:10,1,,,
M60001,8/4/2019 22:35,1,,,
M60001,8/5/2019 11:25,4,,,
